,Name,Actual_Postion,Predicted_Postion
153,J. Iličić,CF,CAM
154,R. Mahrez,RW,LM
155,E. Višća,RM,LM
156,Felipe,CB,CB
157,Fabián,CM,CDM
158,A. Romagnoli,CB,CB
159,G. Lo Celso,CM,CAM
160,T. Alexander-Arnold,RB,LB
161,L. Jović,ST,ST
162,A. Milik,ST,ST
163,A. Martial,LW,ST
164,Anderson Talisca,CAM,CAM
165,J. Tah,CB,CB
166,C. Tolisso,CM,CDM
167,Pau López,GK,GK
168,Gonçalo Guedes,LM,LM
169,N. Pépé,RM,LM
170,M. Akanji,CB,CB
171,M. Rashford,ST,ST
172,J. Stones,CB,CB
173,A. Rabiot,CM,CDM
174,Grimaldo,LB,LB
175,T. Werner,ST,ST
176,T. Lemar,LM,RM
177,D. Sánchez,CB,CB
178,Marco Asensio,LW,LM
179,L. Digne,LB,LB
180,J. Draxler,CAM,LM
181,J. Pickford,GK,GK
182,Y. Carrasco,LM,RM
183,Borja Iglesias,ST,ST
184,K. Casteels,GK,GK
185,W. Zaha,CF,RM
186,Paco Alcácer,ST,ST
187,Morata,ST,ST
188,S. Haller,ST,ST
189,William Carvalho,CDM,CB
190,F. Bernardeschi,RM,LM
191,D. Djené,CB,CB
192,Oscar,CAM,CAM
193,K. Trapp,GK,GK
194,Bartra,CB,CB
195,Pablo Sarabia,CAM,LM
196,J. Cillessen,GK,GK
197,Lucas Moura,CF,RM
198,F. Thauvin,RW,LM
199,Jorginho,CM,CDM
200,G. Buffon,GK,GK
201,Casillas,GK,GK
202,R. Jarstein,GK,GK
203,V. Kompany,CB,CB
204,Raúl Albiol,CB,CB
205,F. Quagliarella,ST,ST
206,K. Schmeichel,GK,GK
207,Falcao,ST,ST
208,Miranda,CB,CB
209,C. Vela,RW,ST
210,E. Garay,CB,CB
211,Rui Patrício,GK,GK
212,R. Nainggolan,CAM,CDM
213,E. Banega,CDM,CDM
214,Diego Costa,ST,ST
215,S. Khedira,CM,CDM
216,David Luiz,CB,CB
217,M. Kruse,CF,CAM
218,J. Henderson,CDM,CDM
219,G. Sigurðsson,CAM,CAM
220,A. Ramsey,CM,CAM
221,Illarramendi,CDM,CDM
222,D. Blind,CDM,CDM
223,L. Hrádecký,GK,GK
224,N. Otamendi,CB,CB
225,J. Cuadrado,RM,LM
226,I. Gueye,CDM,CDM
227,K. Kampl,CM,CAM
228,Rodrigo,ST,ST
229,C. Aránguiz,CM,CDM
230,W. Ben Yedder,ST,ST
231,F. Acerbi,CB,CB
232,Danilo Pereira,CDM,CDM
233,A. Kramarić,ST,ST
234,Louri Beretta,ST,ST
235,Josué Chiamulera,CB,CB
236,Ronaldo Cabrais,RW,CAM
237,Oyarzabal,LW,LM
238,L. Bailey,LW,LM
239,Gabriel Jesus,ST,ST
240,M. Kovačić,CM,CM
241,A. Belotti,ST,ST
242,T. Strakosha,GK,GK
243,N. Keïta,CM,CAM
244,L. Torreira,CDM,CDM
245,Rúben Neves,CM,CDM
246,P. Kimpembe,CB,CB
247,S. Bergwijn,RW,LM
248,A. Onana,GK,GK
249,Nélson Semedo,RB,RB
250,A. Areola,GK,GK
251,M. Perin,GK,GK
252,D. Rugani,CB,CB
253,A. Correa,RM,LW
254,Iñaki Williams,ST,ST
255,H. Lozano,RW,RM
256,Gelson Martins,RM,RM
257,B. Lecomte,GK,GK
258,T. Partey,CM,CDM
259,K. Demirbay,CM,CAM
260,J. Matip,CB,CB
261,Suso,RW,CAM
262,S. Savić,CB,CB
263,A. Rüdiger,CB,CB
264,Pacheco,GK,GK
265,Ricardo Pereira,RB,RB
266,N. Tagliafico,LB,RB
267,David Soria,GK,GK
268,Sergio Asenjo,GK,GK
269,Muniain,CAM,CAM
270,M. Götze,CF,CM
271,T. Delaney,CDM,CB
272,O. Baumann,GK,GK
273,Willian José,ST,ST
274,Sergi Roberto,RB,RB
275,N. Schulz,LWB,LB
276,K. Volland,ST,ST
277,Nacho Fernández,CB,CB
278,Gabriel Paulista,CB,CB
279,J. Roussillon,LB,RB
280,H. Maguire,CB,CB
281,T. Hazard,RM,LM
282,E. Forsberg,CAM,CAM
283,F. Kostić,LM,RM
284,M. Politano,RM,LM
285,Rafa,LM,RM
286,Pepe Reina,GK,GK
287,D. De Rossi,CDM,CB
288,Aduriz,ST,ST
289,Jesús Navas,RM,RB
290,Santi Cazorla,CM,CAM
291,H. Herrera,CM,CDM
292,L. Biglia,CDM,CDM
293,L. Fabiański,GK,GK
294,E. Viviano,GK,GK
295,Juan Mata,CAM,CAM
296,O. Giroud,ST,ST
297,S. Kjær,CB,CB
298,Willian,RW,LM
299,V. Ćorluka,CB,CB
300,M. Arnautović,ST,ST
301,A. Sánchez,LW,RM
302,Giuliano,CAM,CAM
303,A. Kolarov,LB,LB
304,M. Balotelli,ST,ST
305,Marlos,RM,CAM
306,Taison,CAM,LM
307,B. Dost,ST,ST
308,G. Bonaventura,CM,CM
309,Pedro,RW,LM
310,L. de Jong,ST,ST
311,S. El Shaarawy,LW,LW
312,Ander Herrera,CM,CDM
313,X. Shaqiri,RW,CAM
314,Mário Fernandes,RWB,RB
315,S. Coates,CB,CB
316,C. Bakambu,ST,ST
317,T. Meunier,RB,RB
318,K. Bellarabi,RW,RM
319,J. Lingard,CAM,LM
320,Q. Promes,LW,LM
321,J. Vardy,ST,ST
322,D. Zapata,ST,ST
323,Morales,ST,LM
324,Raphaelito Anjos,GK,GK
325,Juiano Mestres,CB,CB
326,Rosberto Dourado,CDM,CDM
327,E. Schetino,CB,CB
328,J. Sildero,CAM,CAM
329,L. Martínez,ST,ST
330,H. Aouar,CM,CAM
331,T. Ndombele,CM,CDM
332,Éder Militão,CB,CB
333,A. Cragno,GK,GK
334,D. van de Beek,CAM,CM
335,V. Lindelöf,CB,CB
336,Dani Ceballos,CM,CAM
337,Pablo Fornals,CAM,CAM
338,E. Can,CM,CDM
339,Gayà,LB,LB
340,David Neres,LW,CAM
341,P. Zieliński,CM,CM
342,G. Rulli,GK,GK
343,G. Xhaka,CM,CDM
344,Rafinha,CAM,CAM
345,G. Kondogbia,CM,CDM
346,M. Sabitzer,CAM,CAM
347,L. Shaw,LB,LB
348,J. Martínez,ST,ST
349,A. Doucouré,CDM,CDM
350,W. Ndidi,CDM,CDM
351,T. Horn,GK,GK
352,W. Orban,CB,CB
353,A. Plea,ST,ST
354,Y. Poulsen,ST,ST
355,R. Fraser,LM,RM
356,M. Ginter,CB,CB
357,R. Guerreiro,LM,CM
358,João Mário,CAM,CAM
359,Thiago Mendes,CDM,CDM
360,A. Izzo,CB,CB
361,M. Brozović,CDM,CDM
362,A. Ljajić,CAM,CAM
363,J. Corona,RM,LM
364,Jordi Masip,GK,GK
365,T. Vaclík,GK,GK
366,L. Milivojević,CDM,CDM
367,Gerard Moreno,ST,ST
368,W. Weghorst,ST,ST
369,Quaresma,RM,RM
370,J. Mathieu,CB,CB
371,J. Milner,CM,CDM
372,L. López,ST,ST
373,B. Gomis,ST,ST
374,M. Dembélé,CM,CDM
375,Cesc Fàbregas,CM,CAM
376,A. Consigli,GK,GK
377,L. Koscielny,CB,CB
378,Jardel,CB,CB
379,Renato Augusto,CM,CDM
380,José Fonte,CB,CB
381,A. Guardado,CM,CDM
382,L. Piszczek,RB,RB
383,K. Gameiro,ST,ST
384,D. Payet,CAM,CAM
385,Beñat,CM,CDM
386,Adán,GK,GK
387,B. Höwedes,CB,CB
388,F. Muslera,GK,GK
389,M. Sissoko,CM,RB
390,M. Parolo,CDM,CDM
391,Fernando,CDM,CB
392,N. Gaitán,CAM,RM
393,S. Giovinco,CF,CAM
394,Luiz Gustavo,CDM,CB
395,N. Nkoulou,CB,CB
396,N. Matić,CDM,CDM
397,Marcos Alonso,LB,LB
398,H. Mkhitaryan,RM,LM
399,André Almeida,RB,RB
400,A. Florenzi,RB,LB
401,E. Zahavi,CF,ST
402,F. Vázquez,CM,CAM
403,Lucas Vázquez,RW,LM
404,Dani García,CM,CDM
405,M. Acuña,LW,LB
406,Laure Santeiro,CAM,CAM
407,J. Frendado,CB,CB
408,S. Ardero,CAM,CAM
409,L. Dálves,ST,ST
410,S. Mandíquez,ST,ST
411,João Félix,CF,ST
412,N. Barella,CM,CDM
413,J. Gomez,CB,CB
414,A. Christensen,CB,CB
415,M. Maignan,GK,GK
416,Y. Tielemans,CM,CAM
417,Mario Hermoso,CB,CB
418,Carlos Soler,RM,CAM
419,M. Caldara,CB,CB
420,H. Winks,CM,CDM
421,K. Piątek,ST,ST
422,Diogo Jota,CF,LW
423,Marcos Llorente,CDM,CDM
424,F. Mendy,LB,RB
425,Melendo,RM,RM
426,Rúben Dias,CB,CB
427,D. Livaković,GK,GK
428,Héctor Bellerín,RB,RB
429,B. Mendy,LB,LB
430,M. Dembélé,ST,ST
431,O. Vlachodimos,GK,GK
432,Santi Mina,ST,ST
433,Rony Lopes,LM,LM
434,J. Correa,CF,LM
435,T. Bakayoko,CDM,CDM
436,M. Eggestein,CM,CDM
437,Odriozola,RB,RB
438,M. Gómez,ST,ST
439,Sergi Darder,CM,CM
440,K. Zouma,CB,CB
441,L. Paredes,CM,CDM
442,N. Aké,CB,CB
443,E. Hysaj,RB,RB
444,André Gomes,CDM,CM
445,K. Baldé,RM,LW
446,J. Weigl,CDM,CDM
447,V. Rongier,CM,CDM
448,Yeray,CB,CB
449,Loren,ST,ST
450,R. Rodríguez,LB,LB
451,A. Oxlade-Chamberlain,CM,LM
452,Campaña,CM,CDM
453,A. Mandi,CB,CB
454,Deulofeu,CF,RW
455,Bernat,LB,LB
456,E. Andrada,GK,GK
457,M. Keane,CB,CB
458,J. Quintero,CAM,CAM
459,Samu Castillejo,RM,RM
460,W. Benítez,GK,GK
461,A. Rebić,ST,ST
462,E. Bailly,CB,CB
463,M. Almirón,LW,RM
464,M. Lazzari,RM,RM
465,M. Lanzini,CAM,CAM
466,J. Zoet,GK,GK
467,M. Ryan,GK,GK
468,Sergi Gómez,CB,CB
469,H. Vanaken,CAM,CAM
470,M. Hinteregger,CB,CB
471,M. Nastasić,CB,CB
472,Gabriel,CM,CDM
473,C. Wilson,ST,ST
474,J. Guilavogui,CDM,CB
475,D. Klaassen,CM,CM
476,P. Kadeřábek,RWB,LB
477,C. Kramer,CDM,CDM
478,Iñigo Martínez,CB,CB
479,Portu,CF,CAM
480,Manu Trigueros,CM,CAM
481,H. Çalhanoğlu,LW,CAM
482,M. Dabbur,ST,ST
483,M. Halstenberg,LB,LB
484,M. Vecino,CDM,CM
485,M. Dúbravka,GK,GK
486,M. Dmitrović,GK,GK
487,Joaquín,LM,LM
488,W. Rooney,ST,ST
489,Moyá,GK,GK
490,Nani,LW,CAM
491,J. Mascherano,CDM,CDM
492,Diego López,GK,GK
493,I. Akinfeev,GK,GK
494,A. Gignac,ST,ST
495,Jorge Molina,ST,ST
496,B. Costil,GK,GK
497,L. Perrin,CB,CB
498,B. Foster,GK,GK
499,T. Heaton,GK,GK
500,S. Mandanda,GK,GK
501,Charles,ST,ST
502,S. Radu,CB,CB
503,D. Rose,LB,RB
504,E. Lamela,RM,CAM
505,Raúl García,CAM,CM
506,Naldo,CB,CB
507,D. Wass,CM,CDM
508,S. Romero,GK,GK
509,Pedro León,RM,LM
510,I. Piatti,LW,LM
511,D. Ospina,GK,GK
512,M. Díaz,CDM,CDM
513,M. Valbuena,LM,RM
514,L. Bender,RB,CB
515,S. Bender,CB,CB
516,E. Capoue,CDM,CDM
517,Antunes,LB,LB
518,R. Fährmann,GK,GK
519,F. Fazio,CB,CB
520,M. Hasebe,CB,CB
521,Sidnei,CB,CB
522,D. Perotti,LW,LM
523,L. Pratto,ST,ST
524,S. Feghouli,RM,RM
525,K. Trippier,RB,LB
526,M. Musacchio,CB,CB
527,Y. M'Vila,CDM,CDM
528,L. Stindl,CF,CAM
529,F. Smolov,ST,ST
530,S. Nzonzi,CDM,CB
531,F. Coquelin,CM,CDM
532,Hulk,RM,ST
533,K. Strootman,CM,CDM
534,C. Smalling,CB,CB
535,K. Glik,CB,CB
536,E. Salvio,RM,LM
537,D. Subašić,GK,GK
538,K. Vogt,CB,CB
539,R. Pereyra,LM,CAM
540,Y. Belhanda,CAM,LM
541,Sergi Enrich,ST,ST
542,D. Lovren,CB,CB
543,S. Verdi,LM,LM
544,L. Muriel,ST,ST
545,D. Vida,CB,CB
546,Ibai Gómez,RM,CAM
547,S. Berghuis,RW,LM
548,Cristian Tello,LM,RM
549,Ismaily,LB,LB
550,F. Ghoulam,LB,LB
551,S. Sané,CB,CB
552,S. Zaza,ST,ST
553,S. Vrsaljko,RB,RB
554,Pozuelo,CAM,CAM
555,R. Jiménez,ST,ST
556,Bernard,LM,LM
557,T. Stepanenko,CDM,CDM
558,F. Armani,GK,GK
559,I. Marcone,CDM,CDM
560,Jony,LM,LM
561,Mata,ST,ST
562,M. Marega,ST,ST
563,Everton Andrão,CDM,CDM
564,Welington Dano,LB,RB
565,J. Serendero,GK,GK
566,M. Baldona,CDM,CDM
567,M. Nérez,LB,RB
568,Vinícius Jr.,LW,LM
569,R. Bentancur,CM,CDM
570,Lucas Paquetá,CAM,CAM
571,A. Wan-Bissaka,RB,LB
572,A. Lafont,GK,GK
573,I. Konaté,CB,CB
574,Merino,CM,CDM
575,S. Berge,CDM,CB
576,L. Pellegrini,CM,CDM
577,F. Chiesa,RW,LW
578,Dani Olmo,CAM,CAM
579,R. Zobnin,CDM,CDM
580,A. Saint-Maximin,RW,LM
581,C. Pavón,RW,LM
582,T. Kehrer,CB,CB
583,C. Pulisic,LW,RM
584,F. Kessié,CM,CDM
585,A. Hakimi,LB,LB
586,D. Samassékou,CDM,CDM
587,Marc Roca,CDM,CDM
588,D. Zagadou,CB,CB
589,V. Tsygankov,RM,CAM
590,De Tomás,ST,ST
591,R. Loftus-Cheek,CM,CAM
592,S. Lobotka,CM,CDM
593,J. Denayer,CB,CB
594,L. Klostermann,RB,CB
595,A. Golovin,CAM,CAM
596,A. Diallo,CB,CB
597,B. Pavard,CB,CB
598,M. Rashica,LW,LM
599,B. Chilwell,LB,LB
600,Wesley,ST,ST
601,T. Souček,CDM,CB
602,Junior Firpo,LB,RB
603,J. Ward-Prowse,CM,CAM
604,A. Januzaj,RW,LM
605,Otávio,RM,CAM
606,N. Stark,CB,CB
607,A. Iwobi,LM,RM
608,J. Gbamin,CDM,CDM
609,Munir,ST,LW
610,Angeliño,LB,LB
611,J. Maddison,CAM,CAM
612,André Silva,ST,ST
613,Richarlison,RM,ST
614,S. Nakajima,LM,CAM
615,Raphinha,RW,RM
616,E. Dier,CDM,CB
617,L. Trossard,LW,CAM
618,Jonny,LWB,RB
619,M. Sanson,CM,CAM
620,J. Lerma,CDM,CDM
621,L. Dubois,RB,LB
622,F. Grillitsch,CM,CM
623,L. Cabrera,CB,CB
624,R. Barkley,CAM,CAM
625,J. Murillo,CB,CB
626,J. Tarkowski,CB,CB
627,L. Karius,GK,GK
628,N. Pope,GK,GK
629,J. Brooks,CB,CB
630,M. Batshuayi,ST,ST
631,M. Arnold,CM,CDM
632,S. Kolašinac,LB,RB
633,F. Schär,CB,CB
634,Ricardo Horta,LW,RM
635,L. Alario,ST,ST
636,Mariano,ST,ST
637,R. Aguilar,RB,RB
638,F. Balbuena,CB,CB
639,S. Mustafi,CB,CB
640,G. Pezzella,CB,CB
641,D. da Costa,RWB,RB
642,W. Boly,CB,CB
643,B. Davies,LB,RB
644,Fred,CM,CDM
645,M. Samatta,ST,ST
646,Diego Carlos,CB,CB
647,K. Toko-Ekambi,ST,ST
648,A. Lunev,GK,GK
649,R. Malinovskyi,CM,CAM
650,M. Sakho,CB,CB
651,J. King,CF,ST
652,H. Seferović,ST,ST
653,Laguardia,CB,CB
654,P. Jones,CB,CB
655,S. Aurier,RB,RB
656,L. Spinazzola,LM,RB
657,K. Lala,RWB,LB
658,S. Arias,RB,RB
659,D. Baselli,CM,CAM
660,T. Savanier,CM,CDM
661,Leo Baptistao,ST,ST
662,J. Veltman,CB,CB
663,D. Zappacosta,RB,LB
664,Wu Lei,ST,ST
665,David Villa,ST,ST
666,B. Yılmaz,ST,ST
667,A. Mirante,GK,GK
668,S. Kalou,LM,ST
669,Dante,CB,CB
670,M. Debuchy,RB,RB
671,E. Lavezzi,ST,CF
672,Borja Valero,CAM,CM
673,M. Škrtel,CB,CB
674,J. Evans,CB,CB
675,D. Valeri,CAM,CAM
676,N. Moisander,CB,CB
677,D. Criscito,LB,RB
678,A. Candreva,RM,RM
679,Marcano,CB,CB
680,K. Boateng,CF,ST
681,A. Fernández,CM,CDM
682,N. Guzmán,GK,GK
683,Nacho Monreal,LB,RB
684,Ángel,ST,ST
685,Granero,CM,CDM
686,Éder,ST,LW
687,R. Vormer,CM,CDM
688,S. Coleman,RB,RB
689,A. Lallana,CM,CAM
690,A. Modeste,ST,ST
691,M. Gradel,LW,ST
692,Yuri Berchiche,LB,RB
693,Mariano,RB,LB
694,O. Toprak,CB,CB
695,N. Kalinić,ST,ST
696,C. Stuani,ST,ST
697,S. Ulreich,GK,GK
698,K. Asamoah,LB,LB
699,Alex Teixeira,ST,ST
700,S. Lulić,LM,RB
701,S. Rondón,ST,ST
702,S. Kagawa,CAM,CAM
703,J. Wilshere,CM,CM
704,Guaita,GK,GK
705,Cote,LB,LB
706,Iago Falqué,CF,CAM
707,J. Pastore,CM,CAM
708,Maicon,CB,CB
709,F. Orellana,RM,CAM
710,Elkeson,ST,ST
711,Kike García,ST,ST
712,Escudero,LB,LB
713,Mario Gaspar,RB,RB
714,Herrerín,GK,GK
715,Víctor Ruiz,CB,CB
716,I. Belfodil,ST,ST
717,A. Yarmolenko,RM,LM
718,W. Khazri,ST,LM
719,E. Pérez,CDM,CDM
720,D. Caligiuri,RWB,LB
721,Danilo,RB,LB
722,N. Pallois,CB,CB
723,Vitolo,LM,RM
724,M. Badelj,CDM,CDM
725,C. Tătărușanu,GK,GK
726,Zé Luís,ST,ST
727,D. Suárez,RB,LB
728,Roque Mesa,CDM,CDM
729,Mário Rui,LB,LB
730,T. Inui,LM,LM
731,D. Cheryshev,LM,LM
732,C. Bacca,ST,ST
733,A. Samaris,CDM,CB
734,J. Hector,LB,RB
735,Rubén Peña,RB,LB
736,A. Hamdallah,ST,ST
737,D. Benedetto,ST,ST
738,L. Sigali,CB,CB
739,Raúl,CB,CB
740,Petros,CDM,CDM
741,Dyego Sousa,ST,ST
742,Soares,ST,ST
743,Rubén Alcaraz,CM,CDM
744,Maikel Catarino,RB,RB
745,Antônio Chiamuloira,CB,CB
746,Melvin Parrela,CDM,CB
747,Gabri Prestão,GK,GK
748,Luimo Boas Santos,ST,ST
749,D. Lenzado,CB,CB
750,E. Riquero,CDM,CDM
751,L. Sáreda,GK,GK
752,E. Aguerro,ST,ST
753,A. Meret,GK,GK
754,I. Sarr,RM,LW
755,D. Rice,CDM,CB
756,F. Neuhaus,CM,CM
757,M. Zaracho,CAM,CAM
758,Ferro,CB,CB
759,J. Andersen,CB,CB
760,D. Zakaria,CM,CDM
761,I. Diop,CB,CB
762,H. Onyekuru,LM,RM
763,J. Ikoné,CAM,CAM
764,C. Ünder,RW,LM
765,M. Ødegaard,RW,CAM
766,J. Bamba,LM,RM
767,N. Amiri,CAM,CAM
768,O. Zinchenko,LB,CDM
769,J. Mateta,ST,ST
770,O. Yokuşlu,CDM,CDM
771,B. Cristante,CM,CDM
772,L. Dendoncker,CM,CB
773,M. Dahoud,CM,CM
774,N. Elvedi,CB,CB
775,Joelinton,ST,ST
776,Daniel Podence,LM,CAM
777,G. Dzhikiya,CB,CB
778,Aarón Martín,LB,LB
779,E. Bardhi,CM,CAM
780,N. Maksimović,CM,CDM
781,Calero,CB,CB
782,J. Butland,GK,GK
783,Óliver Torres,CM,CM
784,G. Laborde,ST,ST
785,R. De Paul,CF,CAM
786,D. Selke,ST,ST
787,M. Lemina,CM,CDM
788,D. Origi,ST,ST
789,E. Pulgar,CDM,CDM
790,A. Miranchuk,CAM,CAM
791,W. Barrios,CDM,CDM
792,J. Musso,GK,GK
793,Rúben Vezo,CB,CB
794,B. Santamaria,CDM,CDM
795,Y. Mina,CB,CB
796,Joan Jordán,CM,CDM
797,L. Tousart,CDM,CB
798,Y. Yazıcı,CAM,LM
799,M. Gregoritsch,CAM,CAM
800,J. Lascelles,CB,CB
801,T. Vilhena,CM,CDM
802,Denis Suárez,CM,CM
803,K. Rekik,CB,CB
804,B. Traoré,RW,ST
805,I. Amadou,CDM,CDM
806,M. Meyer,CM,CM
807,José Sá,GK,GK
808,A. Selikhov,GK,GK
809,A. Mitrović,ST,ST
810,G. Maripán,CB,CB
811,E. Skhiri,CDM,CDM
812,D. Dumfries,RB,RB
813,Bruno Viana,CB,CB
814,M. Sels,GK,GK
815,A. Soumaoro,CB,CB
816,J. Veretout,CM,CDM
817,V. Fischer,LM,CAM
818,S. Meïté,CM,CDM
819,J. Boëtius,CAM,LM
820,D. Berardi,RW,LW
821,R. Gagliardini,CDM,CDM
822,R. Saravia,RB,LB
823,Ayoze Pérez,CF,ST
824,H. Hateboer,RM,RB
825,B. Verbič,LM,CAM
826,G. Martínez,CAM,LM
827,Rafael Tolói,CB,CB
828,S. Duffy,CB,CB
829,F. Lejeune,CB,CB
830,L. Dunk,CB,CB
831,Pedro Mendes,CB,CB
832,Fernando,CDM,CDM
833,K. Fortounis,CAM,CAM
834,C. Hérelle,CB,CB
835,Omar Mascarell,CDM,CDM
836,Bruma,LW,LM
837,S. Deli,CB,CB
838,M. Ngadeu,CB,CB
839,V. Wanyama,CDM,CB
840,C. Kabasele,CB,CB
841,A. Delort,ST,ST
842,Joel Robles,GK,GK
843,Sérgio Oliveira,CM,CM
844,V. Aboubakar,ST,ST
845,M. Uth,ST,ST
846,M. Doherty,RWB,RB
847,David López,CB,CB
848,R. Freuler,CM,CDM
849,D. Demme,CDM,CDM
850,A. Schwolow,GK,GK
851,J. Vestergaard,CB,CB
852,F. Mollet,CAM,CAM
853,J. Hofmann,CAM,LM
854,V. Grifo,LM,LM
855,F. Tait,LM,CAM
856,D. Laxalt,LM,RM
857,N. Maksimović,CB,CB
858,Capa,RB,RB
859,Bastos,CB,CB
860,M. Diagne,ST,ST
861,G. Ochoa,GK,GK
862,C. Tévez,CAM,LM
863,J. Sosa,CM,CAM
864,Raffael,CF,CAM
865,Andrés Fernández,GK,GK
866,J. Pinola,CB,CB
867,M. Zárate,ST,ST
868,Hilton,CB,CB
869,G. Hoarau,ST,ST
870,A. Granqvist,CB,CB
871,R. Babel,LM,ST
872,T. Vermaelen,CB,CB
873,D. Abraham,CB,CB
874,S. Nasri,CAM,CAM
875,I. Khune,GK,GK
876,A. Masiello,CB,CB
877,R. Bertrand,LB,LB
878,J. dos Santos,CM,CDM
879,Gervinho,LW,RM
880,N. Şahin,CDM,CDM
881,S. Defour,CM,CDM
882,K. Mirallas,LM,LM
883,Manu García,CM,CDM
884,Coke,RB,RB
885,V. Moses,RM,RB
886,C. Ansaldi,LM,RB
