,sofifaid,Overall
125,236583.0,83.29
126,198176.0,84.18
127,201995.0,84.2
128,120533.0,81.19
129,162347.0,84.03
130,167628.0,83.72
131,168435.0,83.72
132,171877.0,83.94
133,172879.0,84.2
134,176266.0,83.66
135,176635.0,83.59
136,177610.0,83.94
137,177683.0,82.87
138,180930.0,84.06
139,181291.0,84.14
140,181458.0,83.57
141,181783.0,84.16
142,181872.0,84.29
143,183907.0,83.76
144,184432.0,83.64
145,185020.0,84.08
146,186942.0,84.26
147,187961.0,83.59
148,188377.0,83.78
149,190286.0,84.01
150,190483.0,83.99
151,197965.0,84.23
152,199434.0,83.3
153,200647.0,83.88
154,204485.0,84.11
155,205678.0,84.33
156,207863.0,83.94
157,226271.0,83.58
158,210413.0,83.29
159,226226.0,83.1
160,231281.0,82.87
161,232432.0,83.9
162,205175.0,83.09
163,211300.0,82.91
164,212523.0,83.07
165,213331.0,83.31
166,219683.0,83.07
167,221087.0,82.6
168,224411.0,82.77
169,226110.0,82.78
170,229237.0,83.11
171,231677.0,82.95
172,203574.0,82.89
173,210008.0,83.02
174,210035.0,82.21
175,212188.0,82.99
176,213565.0,82.71
177,220793.0,83.24
178,220834.0,82.76
179,200458.0,82.18
180,202166.0,82.79
181,204935.0,82.98
182,208418.0,82.75
183,224179.0,83.06
184,192984.0,82.81
185,198717.0,82.78
186,200454.0,82.79
187,201153.0,83.02
188,205693.0,82.94
189,207566.0,82.76
190,212404.0,82.69
191,217940.0,82.87
192,188152.0,82.33
193,188943.0,83.13
194,198141.0,83.36
195,198950.0,82.34
196,199987.0,83.03
197,200949.0,82.72
198,204970.0,82.8
199,205498.0,82.6
200,1179.0,79.87
201,5479.0,78.99
202,104389.0,81.48
203,139720.0,81.45
204,157481.0,81.69
205,159261.0,80.69
206,163587.0,82.94
207,167397.0,83.88
208,168609.0,80.97
209,169416.0,82.91
210,170481.0,83.3
211,178005.0,82.68
212,178518.0,83.19
213,178562.0,82.02
214,179844.0,83.43
215,179846.0,83.64
216,179944.0,83.46
217,183574.0,83.5
218,183711.0,82.58
219,184484.0,83.15
220,186561.0,83.02
221,190584.0,82.79
222,190815.0,82.7
223,190941.0,83.17
224,192366.0,82.59
225,193082.0,83.04
226,193474.0,82.83
227,195365.0,83.02
228,198329.0,83.15
229,199042.0,83.37
230,199451.0,83.0
231,199845.0,82.84
232,200888.0,82.63
233,216354.0,82.88
234,230294.0,82.88
235,230375.0,82.8
236,230481.0,82.57
237,230142.0,82.52
238,229906.0,82.49
239,230666.0,82.52
240,207410.0,82.1
241,208596.0,82.43
242,212151.0,82.22
243,220971.0,82.08
244,223959.0,82.07
245,224293.0,82.16
246,225850.0,82.3
247,225953.0,82.1
248,226753.0,82.16
249,227928.0,82.15
250,193105.0,82.2
251,198009.0,82.2
252,211320.0,82.07
253,214997.0,81.98
254,216201.0,82.06
255,221992.0,81.98
256,227055.0,82.01
257,200726.0,82.45
258,209989.0,82.47
259,211748.0,82.09
260,197061.0,82.44
261,202651.0,81.98
262,204639.0,82.97
263,205452.0,82.76
264,209960.0,81.67
265,210243.0,81.68
266,211256.0,82.06
267,223952.0,81.91
268,178750.0,82.43
269,189575.0,82.23
270,192318.0,82.35
271,193283.0,82.14
272,193698.0,82.91
273,195093.0,82.52
274,199564.0,82.3
275,200536.0,81.99
276,200610.0,82.21
277,200724.0,82.63
278,201305.0,82.38
279,202562.0,81.93
280,203263.0,82.38
281,203486.0,82.17
282,208448.0,82.27
283,208574.0,82.22
284,216409.0,81.93
285,216547.0,82.4
286,24630.0,79.12
287,53302.0,80.76
288,106231.0,80.89
289,146536.0,81.59
290,146562.0,80.58
291,156519.0,82.56
292,158963.0,80.76
293,164835.0,80.73
294,168354.0,81.48
295,178088.0,81.99
296,178509.0,83.1
297,179645.0,82.33
298,180403.0,82.1
299,181786.0,80.98
300,184200.0,82.25
301,184941.0,82.14
302,184942.0,82.06
303,185103.0,80.6
304,186627.0,82.39
305,187754.0,81.84
306,188803.0,81.86
307,189068.0,82.46
308,189125.0,82.07
309,189505.0,81.95
310,189805.0,82.62
311,190813.0,81.81
312,191740.0,82.48
313,193348.0,81.93
314,193525.0,81.51
315,197655.0,82.07
316,198951.0,82.09
317,202371.0,81.09
318,202857.0,82.08
319,207494.0,82.11
320,208808.0,81.73
321,208830.0,82.94
322,215333.0,82.14
323,216475.0,81.91
324,230168.0,81.94
325,230225.0,80.16
326,230258.0,81.99
327,245309.0,72.55
328,245313.0,73.19
329,231478.0,81.9
330,234906.0,81.94
331,235569.0,82.16
332,240130.0,81.65
333,205659.0,81.12
334,221363.0,81.89
335,221660.0,81.58
336,222509.0,81.59
337,226456.0,81.82
338,208333.0,81.63
339,211688.0,80.6
340,236632.0,81.6
341,210406.0,81.41
342,215316.0,81.07
343,199503.0,81.6
344,201400.0,81.75
345,201455.0,81.49
346,204923.0,81.41
347,205988.0,80.43
348,207877.0,81.65
349,208135.0,80.72
350,226790.0,80.19
351,200316.0,80.59
352,204638.0,81.42
353,206467.0,81.6
354,207791.0,81.38
355,207807.0,81.05
356,207862.0,80.84
357,209889.0,81.16
358,212814.0,81.3
359,213874.0,80.81
360,216145.0,81.44
361,216352.0,80.52
362,190544.0,80.94
363,193165.0,80.81
364,199575.0,81.42
365,204120.0,81.58
366,206304.0,81.19
367,208093.0,81.18
368,223689.0,80.92
369,20775.0,80.09
370,112316.0,80.09
371,138412.0,80.59
372,142707.0,79.11
373,159145.0,80.22
374,162240.0,81.61
375,162895.0,80.59
376,163489.0,80.95
377,165229.0,79.79
378,168530.0,79.65
379,169195.0,81.01
380,171791.0,79.51
381,171897.0,80.57
382,173771.0,79.47
383,176600.0,80.8
384,177388.0,80.64
385,177600.0,80.45
386,178086.0,80.82
387,179784.0,81.22
388,182494.0,80.34
389,183394.0,81.33
390,183498.0,80.14
391,184134.0,81.06
392,184144.0,80.9
393,184431.0,80.56
394,185221.0,81.15
395,188829.0,81.53
396,191202.0,80.8
397,192638.0,80.31
398,192883.0,81.12
399,194022.0,80.8
400,203551.0,80.1
401,204399.0,80.82
402,207471.0,81.32
403,208618.0,80.75
404,216194.0,81.67
405,224334.0,80.67
406,230271.0,81.2
407,245299.0,70.7
408,245304.0,71.72
409,245305.0,72.0
410,251700.0,71.02
411,242444.0,81.9
412,224232.0,81.14
413,225100.0,80.52
414,213661.0,80.4
415,215698.0,79.44
416,216393.0,79.91
417,229668.0,80.4
418,234153.0,80.18
419,220477.0,80.62
420,222400.0,80.16
421,223113.0,80.03
422,224458.0,79.91
423,226161.0,80.32
424,228618.0,79.96
425,236679.0,79.56
426,239818.0,80.25
427,241671.0,79.44
428,203747.0,80.09
429,204884.0,80.16
430,211591.0,79.8
431,211990.0,80.03
432,212623.0,79.92
433,212692.0,79.99
434,215330.0,79.95
435,219809.0,80.44
436,226168.0,80.2
437,234035.0,79.97
438,239207.0,79.84
439,202648.0,80.13
440,204311.0,80.26
441,207439.0,80.26
442,208920.0,80.06
443,210864.0,80.44
444,211575.0,79.79
445,215785.0,79.94
446,222028.0,80.02
447,223874.0,79.87
448,227950.0,80.1
449,242348.0,80.31
450,193352.0,79.78
451,198784.0,80.23
452,199823.0,80.13
453,201143.0,80.6
454,202477.0,80.08
455,205069.0,79.75
456,205849.0,80.47
457,207599.0,80.38
458,210513.0,80.15
459,210617.0,79.9
460,215223.0,79.48
461,220018.0,80.29
462,225508.0,80.35
463,230977.0,80.06
464,235374.0,79.99
465,188988.0,80.14
466,190778.0,80.29
467,199005.0,79.72
468,199577.0,80.63
469,200155.0,79.98
470,201922.0,80.24
471,205362.0,80.35
472,208141.0,80.02
473,196978.0,80.11
474,198118.0,80.38
475,203483.0,79.85
476,203605.0,79.85
477,204024.0,80.34
478,204525.0,80.42
479,205070.0,80.09
480,206545.0,80.14
481,208128.0,79.85
482,208498.0,80.08
483,210665.0,79.77
484,219985.0,79.69
485,220407.0,80.02
486,227290.0,79.25
487,45186.0,77.49
488,54050.0,79.72
489,110677.0,77.18
490,139068.0,79.25
491,142754.0,79.49
492,146748.0,76.15
493,148119.0,79.93
494,153244.0,79.42
495,154472.0,77.84
496,158121.0,79.53
497,159147.0,79.81
498,163155.0,77.91
499,163264.0,79.8
500,163705.0,79.28
501,164029.0,78.92
502,165109.0,79.34
503,169595.0,79.71
504,170368.0,79.81
505,171579.0,79.58
506,171919.0,77.99
507,172522.0,79.96
508,173373.0,79.87
509,175379.0,79.45
510,176376.0,79.33
511,176550.0,79.38
512,176930.0,78.79
513,177326.0,79.18
514,177457.0,79.71
515,177458.0,80.19
516,178213.0,79.29
517,178424.0,78.54
518,179783.0,79.76
519,179847.0,79.3
520,181098.0,79.29
521,182002.0,79.78
522,183900.0,80.47
523,184252.0,80.37
524,184881.0,79.94
525,186345.0,79.46
526,186547.0,79.89
527,187052.0,79.61
528,187072.0,80.26
529,187491.0,80.81
530,187936.0,79.73
531,189271.0,80.26
532,189362.0,79.49
533,189712.0,79.97
534,189881.0,80.11
535,190547.0,80.11
536,190972.0,79.96
537,192593.0,80.04
538,192641.0,79.46
539,193061.0,80.24
540,193738.0,79.97
541,194879.0,80.96
542,195086.0,80.13
543,196889.0,79.37
544,199110.0,79.92
545,199206.0,79.84
546,199416.0,80.16
547,200260.0,79.64
548,200315.0,79.83
549,201119.0,79.19
550,201454.0,79.53
551,201956.0,79.96
552,202685.0,80.03
553,203890.0,79.34
554,203895.0,79.54
555,204838.0,80.28
556,205525.0,79.56
557,206413.0,79.8
558,214584.0,79.33
559,215057.0,79.62
560,222943.0,79.71
561,223578.0,80.52
562,227536.0,80.24
563,230234.0,79.36
564,230347.0,79.39
565,245294.0,74.59
566,245300.0,70.72
567,245308.0,72.36
568,238794.0,81.2
569,227535.0,79.81
570,233927.0,79.78
571,229880.0,79.83
572,231691.0,78.87
573,237678.0,80.19
574,225193.0,79.89
575,228092.0,79.67
576,228251.0,79.73
577,235805.0,79.27
578,244260.0,79.21
579,213160.0,79.56
580,216388.0,79.36
581,224254.0,79.49
582,226229.0,79.29
583,227796.0,79.14
584,230938.0,79.71
585,235212.0,78.7
586,235424.0,79.55
587,235945.0,79.08
588,238476.0,79.43
589,244369.0,79.14
590,210315.0,79.38
591,213666.0,79.61
592,216435.0,79.63
593,220182.0,79.88
594,222331.0,79.42
595,225663.0,79.34
596,225711.0,79.3
597,226851.0,79.26
598,229167.0,79.49
599,229984.0,79.19
600,232381.0,79.54
601,236792.0,79.22
602,241184.0,78.78
603,205569.0,79.55
604,208330.0,79.36
605,210411.0,79.3
606,212977.0,79.78
607,213655.0,79.55
608,214947.0,79.42
609,220253.0,79.18
610,220651.0,78.78
611,220697.0,79.02
612,228941.0,79.42
613,231943.0,79.1
614,232862.0,79.31
615,233419.0,79.08
616,202335.0,79.57
617,207421.0,79.31
618,210455.0,79.41
619,210896.0,79.16
620,213991.0,79.5
621,216643.0,79.01
622,228336.0,79.35
623,192816.0,79.54
624,199189.0,79.25
625,201377.0,79.59
626,202695.0,79.16
627,203775.0,78.82
628,203841.0,78.89
629,204082.0,79.17
630,204529.0,79.29
631,206511.0,79.18
632,207993.0,78.61
633,210047.0,79.38
634,213516.0,79.23
635,215353.0,79.5
636,221639.0,79.28
637,223597.0,78.76
638,228229.0,79.66
639,192227.0,79.4
640,193601.0,79.96
641,202429.0,78.58
642,202750.0,79.83
643,205923.0,78.93
644,209297.0,79.43
645,218066.0,79.27
646,219693.0,78.78
647,224069.0,79.43
648,229909.0,75.61
649,231969.0,79.2
650,183285.0,79.54
651,185422.0,79.23
652,193408.0,79.47
653,194222.0,79.67
654,194957.0,79.5
655,197853.0,78.78
656,202884.0,79.55
657,204105.0,78.94
658,204259.0,79.13
659,205407.0,78.97
660,205686.0,79.09
661,205976.0,79.2
662,208004.0,79.27
663,216150.0,79.02
664,221445.0,79.34
665,113422.0,78.11
666,124375.0,79.33
667,140293.0,76.75
668,158232.0,79.12
669,158625.0,77.31
670,158626.0,78.82
671,159065.0,78.06
672,161956.0,78.38
673,166706.0,79.15
674,169588.0,78.85
675,172114.0,78.98
676,172862.0,78.95
677,173208.0,78.21
678,173221.0,78.8
679,173521.0,78.27
680,173909.0,78.85
681,176915.0,79.46
682,176919.0,79.29
683,177604.0,79.05
684,177633.0,78.57
685,178085.0,79.2
686,178311.0,78.61
687,178415.0,78.81
688,180216.0,78.73
689,180819.0,79.12
690,182212.0,78.97
691,182945.0,78.93
692,183512.0,78.78
693,184949.0,78.39
694,185239.0,78.95
695,185431.0,79.08
696,186537.0,78.6
697,186569.0,78.68
698,186832.0,78.76
699,188081.0,78.91
700,188427.0,79.3
701,189250.0,78.96
702,189358.0,79.13
703,189461.0,78.99
704,189690.0,78.7
705,190143.0,78.78
706,190264.0,78.88
707,191180.0,79.03
708,191687.0,78.74
709,192492.0,79.1
710,192598.0,78.87
711,192678.0,78.96
712,192679.0,78.89
713,192789.0,78.92
714,193152.0,78.62
715,193469.0,78.79
716,194728.0,78.87
717,194794.0,79.25
718,194845.0,79.16
719,196432.0,78.71
720,197083.0,77.22
721,199304.0,78.34
722,199393.0,78.72
723,199715.0,79.04
724,201144.0,78.87
725,201325.0,79.37
726,203757.0,79.17
727,203843.0,77.93
728,204277.0,78.82
729,204614.0,78.68
730,205114.0,78.88
731,206225.0,78.87
732,207664.0,78.59
733,208230.0,78.7
734,208334.0,78.82
735,211241.0,77.73
736,213761.0,79.0
737,215061.0,78.89
738,215135.0,78.41
739,221540.0,78.76
740,222709.0,78.57
741,224116.0,79.16
742,227476.0,79.17
743,229788.0,79.34
744,230201.0,76.99
745,230212.0,78.73
746,230251.0,78.31
747,230312.0,78.47
748,230498.0,78.7
749,245298.0,71.88
750,245302.0,72.04
751,245306.0,75.33
752,245315.0,71.49
753,225116.0,77.7
754,235353.0,78.77
755,234378.0,79.1
756,234943.0,78.61
757,235926.0,78.12
758,242236.0,78.66
759,224221.0,78.46
760,229261.0,79.0
761,231633.0,78.18
762,234045.0,78.31
763,234612.0,78.19
764,235889.0,78.2
765,222665.0,77.56
766,225085.0,78.1
767,225309.0,77.83
768,227813.0,77.47
769,236461.0,78.18
770,205201.0,78.2
771,208268.0,78.27
772,212501.0,78.37
773,218339.0,77.81
774,221491.0,77.69
775,223334.0,77.73
776,226766.0,77.86
777,229773.0,78.41
778,236295.0,77.56
779,237239.0,78.04
780,239433.0,78.46
781,240289.0,78.09
782,203042.0,78.21
783,208777.0,77.99
784,209519.0,78.32
785,212616.0,78.21
786,212626.0,77.96
787,212811.0,78.31
788,213135.0,77.92
789,213629.0,78.22
790,214092.0,77.84
791,214394.0,73.2
792,214979.0,78.1
793,215399.0,78.57
794,219792.0,78.08
795,220523.0,78.38
796,224309.0,77.94
797,227234.0,77.73
798,231887.0,77.61
799,199439.0,78.15
800,203487.0,78.14
801,203535.0,72.17
802,205192.0,77.99
803,205193.0,77.99
804,207948.0,77.2
805,211382.0,78.42
806,212150.0,77.36
807,212442.0,78.12
808,213732.0,77.9
809,215716.0,77.82
810,219145.0,78.31
811,225126.0,77.69
812,233096.0,77.58
813,234226.0,77.96
814,199641.0,77.87
815,200353.0,78.22
816,201519.0,78.16
817,203965.0,78.03
818,205391.0,78.41
819,205402.0,78.0
820,210935.0,77.79
821,212153.0,77.99
822,215256.0,78.03
823,215590.0,77.98
824,220093.0,78.4
825,225997.0,78.08
826,226377.0,78.12
827,187598.0,78.55
828,192622.0,78.25
829,197948.0,78.34
830,199915.0,78.32
831,200677.0,78.65
832,202642.0,78.03
833,203980.0,77.94
834,208449.0,77.91
835,208620.0,77.96
836,211368.0,77.7
837,228236.0,78.15
838,236690.0,78.56
839,188942.0,78.65
840,190324.0,78.38
841,193983.0,77.95
842,195668.0,78.02
843,198031.0,77.84
844,199069.0,77.95
845,200318.0,77.97
846,201417.0,77.76
847,201505.0,78.64
848,202024.0,78.18
849,202325.0,77.84
850,202789.0,77.66
851,202849.0,77.94
852,209288.0,78.11
853,210324.0,77.61
854,212096.0,77.53
855,213388.0,77.61
856,213400.0,77.87
857,215466.0,77.86
858,216189.0,77.94
859,216655.0,77.76
860,220131.0,78.02
861,140233.0,78.25
862,143001.0,77.59
863,143121.0,76.92
864,144622.0,77.6
865,146296.0,77.51
866,146963.0,74.87
867,153177.0,77.82
868,153260.0,74.14
869,156432.0,77.25
870,156713.0,76.21
871,157301.0,77.97
872,157304.0,78.76
873,160741.0,76.22
874,165239.0,77.33
875,165247.0,77.76
876,169115.0,79.02
877,169705.0,77.49
878,170370.0,78.07
879,170733.0,77.82
880,170797.0,77.75
881,170815.0,77.7
882,172175.0,77.31
883,172287.0,78.54
884,172316.0,76.49
885,172962.0,78.35
886,173306.0,78.12
887,173426.0,77.35
888,173432.0,71.88
889,173546.0,77.77
890,175254.0,78.13
891,176104.0,77.57
892,177392.0,77.62
893,177983.0,76.38
894,178224.0,78.15
895,178250.0,78.75
896,179560.0,77.95
897,179789.0,77.49
898,180334.0,76.39
899,180714.0,78.56
900,181820.0,78.25
901,182495.0,76.24
902,182744.0,76.27
903,183108.0,77.63
904,183125.0,78.0
905,183376.0,77.59
906,183426.0,77.68
907,183497.0,78.85
908,183580.0,78.15
909,183899.0,78.01
910,184069.0,77.68
911,184120.0,77.46
912,184826.0,78.14
913,185132.0,78.4
914,186146.0,77.93
915,186148.0,78.05
916,186905.0,78.14
917,187607.0,71.02
918,187924.0,78.03
919,188005.0,77.53
920,188041.0,77.12
921,188044.0,78.3
922,188388.0,78.08
923,188770.0,78.09
924,189156.0,77.68
925,189251.0,77.63
926,189423.0,77.6
927,189433.0,77.81
928,189560.0,77.34
929,189606.0,77.62
930,189681.0,77.49
931,189682.0,77.6
932,190149.0,77.44
933,190243.0,77.77
934,190456.0,77.36
935,190674.0,78.2
936,190717.0,78.03
937,190765.0,78.0
938,191076.0,78.09
939,192445.0,77.98
940,193011.0,77.6
941,193171.0,77.27
942,193361.0,77.93
943,193532.0,77.98
944,193886.0,78.12
945,194229.0,77.59
946,194932.0,77.62
947,195202.0,77.99
948,195586.0,78.12
949,197225.0,78.1
950,197242.0,77.3
951,198200.0,77.28
952,198949.0,76.65
953,199561.0,77.68
954,200215.0,77.16
955,201095.0,77.75
956,201508.0,77.97
957,201862.0,77.37
958,202054.0,77.76
959,202201.0,77.42
960,202851.0,77.97
961,202935.0,77.69
962,203299.0,77.94
963,204385.0,77.82
964,205427.0,77.81
965,205705.0,77.62
966,205850.0,77.98
967,207557.0,77.8
968,207939.0,77.5
969,208461.0,78.55
970,208520.0,77.51
971,213353.0,78.14
972,214040.0,77.16
973,214206.0,77.66
974,214766.0,77.63
975,215162.0,76.39
976,215998.0,78.03
977,216054.0,77.43
978,216373.0,77.53
979,216451.0,77.56
980,219576.0,77.73
981,223249.0,77.45
982,223627.0,78.04
983,225647.0,77.77
984,230184.0,77.48
985,230269.0,76.59
986,230360.0,77.0
987,230431.0,77.51
988,243238.0,78.05
989,245295.0,71.4
990,245297.0,71.44
991,245303.0,70.47
992,229558.0,77.6
993,228413.0,76.48
994,228881.0,77.5
995,231521.0,77.09
996,232099.0,77.64
997,237715.0,77.5
998,220196.0,77.38
999,228819.0,77.03
1000,235944.0,76.95
1001,236355.0,77.55
1002,240754.0,77.36
1003,206517.0,77.21
1004,222368.0,77.2
1005,223033.0,77.35
1006,226166.0,77.28
1007,232411.0,76.69
1008,238359.0,77.09
1009,239053.0,77.04
1010,239301.0,77.47
1011,241095.0,76.73
1012,245279.0,76.91
1013,251573.0,76.97
1014,216816.0,77.14
1015,219932.0,77.06
1016,220883.0,77.13
1017,223197.0,76.74
1018,223273.0,77.86
1019,223898.0,76.91
1020,224294.0,76.94
1021,224540.0,77.02
1022,230965.0,77.68
1023,234678.0,76.47
1024,236401.0,76.36
1025,236441.0,76.77
1026,236791.0,77.72
1027,237183.0,77.22
1028,237238.0,76.46
1029,239482.0,76.44
1030,243686.0,77.21
1031,210625.0,77.12
1032,212196.0,77.18
1033,220570.0,76.96
1034,221479.0,76.76
1035,222148.0,77.21
1036,224030.0,76.34
1037,225161.0,76.91
1038,225375.0,77.25
1039,228635.0,76.68
1040,229764.0,76.55
1041,235134.0,76.22
1042,206516.0,77.33
1043,206591.0,76.97
1044,208450.0,76.45
1045,210736.0,76.5
1046,211354.0,77.1
1047,212219.0,76.58
1048,212602.0,77.32
1049,212886.0,76.98
1050,213013.0,77.63
1051,213296.0,76.97
1052,213648.0,76.84
1053,214988.0,77.54
1054,215689.0,77.12
1055,216266.0,76.46
1056,219391.0,77.11
1057,225201.0,76.77
1058,226536.0,77.47
1059,229857.0,76.82
1060,230564.0,77.19
1061,230578.0,76.01
1062,232665.0,76.88
1063,235813.0,76.55
1064,204077.0,77.21
1065,204612.0,76.24
1066,210761.0,77.24
1067,212888.0,77.27
1068,223245.0,77.2
1069,224196.0,76.24
1070,226221.0,77.35
1071,229636.0,76.76
1072,198513.0,77.06
1073,198719.0,77.06
1074,200332.0,76.93
1075,205632.0,76.98
1076,207537.0,77.38
1077,207790.0,76.17
1078,211381.0,77.16
1079,212187.0,76.98
1080,212204.0,76.98
1081,212245.0,77.64
1082,214097.0,77.12
1083,216258.0,77.11
1084,216466.0,77.22
1085,219258.0,77.19
1086,220925.0,77.21
1087,223058.0,71.66
1088,225659.0,76.23
1089,225878.0,76.78
1090,234642.0,77.13
1091,237556.0,76.95
1092,189127.0,77.54
1093,196934.0,77.05
1094,200110.0,76.9
1095,201939.0,76.93
1096,202048.0,77.07
1097,203030.0,77.27
1098,203106.0,77.38
1099,204240.0,77.49
1100,204497.0,77.19
1101,206652.0,76.16
1102,216531.0,77.27
1103,223724.0,76.53
1104,226078.0,76.71
1105,230020.0,77.0
1106,189165.0,77.44
1107,192123.0,77.27
1108,192557.0,77.09
1109,193158.0,77.37
1110,193198.0,76.57
1111,194781.0,77.61
1112,197891.0,76.77
1113,199667.0,77.06
1114,199767.0,76.81
1115,200054.0,76.83
1116,200228.0,77.42
1117,201042.0,76.37
1118,201315.0,77.02
1119,201510.0,76.32
1120,205431.0,76.74
1121,205966.0,76.91
1122,206058.0,76.65
1123,208622.0,77.22
1124,209981.0,76.96
1125,211267.0,76.71
1126,211454.0,76.84
1127,216700.0,76.81
1128,224933.0,76.57
1129,230685.0,76.69
1130,240493.0,77.55
1131,244791.0,77.12
1132,137351.0,75.65
1133,140384.0,76.84
1134,142902.0,76.57
1135,146701.0,76.52
1136,146952.0,76.2
1137,148803.0,75.93
1138,150724.0,76.74
1139,152554.0,76.02
1140,152908.0,76.73
1141,152993.0,75.02
1142,152997.0,75.8
1143,158133.0,76.65
1144,158438.0,75.7
1145,161754.0,76.15
1146,162369.0,77.0
1147,164376.0,77.52
1148,164464.0,76.61
1149,164468.0,76.98
1150,164859.0,76.81
1151,166072.0,76.07
1152,171828.0,77.04
1153,172049.0,76.96
1154,172143.0,76.77
1155,172937.0,76.46
1156,173474.0,76.34
1157,174543.0,75.47
1158,175895.0,76.54
1159,176731.0,77.16
1160,176733.0,70.8
1161,176994.0,76.49
1162,177358.0,76.77
1163,178007.0,77.08
1164,178322.0,75.67
1165,178416.0,77.07
1166,178614.0,75.96
1167,179527.0,76.67
1168,181262.0,75.91
1169,182179.0,75.7
1170,182941.0,75.4
1171,183389.0,76.77
1172,183427.0,76.66
1173,183556.0,77.31
1174,183666.0,78.81
1175,183820.0,76.81
1176,183855.0,76.31
1177,183909.0,76.75
1178,184089.0,77.01
1179,184575.0,76.93
1180,184858.0,76.88
1181,184999.0,76.6
1182,185174.0,77.25
1183,185195.0,76.85
1184,186132.0,77.0
1185,186935.0,75.51
1186,187570.0,74.98
1187,187735.0,76.92
1188,188042.0,77.04
1189,188155.0,76.97
1190,188955.0,76.87
1191,189060.0,76.9
1192,189280.0,77.3
1193,189410.0,77.24
1194,189506.0,77.13
1195,190362.0,77.08
1196,190875.0,76.37
1197,191053.0,77.16
1198,192270.0,76.96
1199,192565.0,76.74
1200,192708.0,76.92
1201,192906.0,76.82
1202,192991.0,76.88
1203,193584.0,77.01
1204,193839.0,76.82
1205,194209.0,76.55
1206,195096.0,76.88
1207,197813.0,76.88
1208,198077.0,76.82
1209,198140.0,76.79
1210,198368.0,76.48
1211,198715.0,76.85
1212,199354.0,76.85
1213,199626.0,76.97
1214,199737.0,76.83
1215,199827.0,75.93
1216,199986.0,75.63
1217,200212.0,76.28
1218,200630.0,76.65
1219,201046.0,76.61
1220,201049.0,77.01
1221,201860.0,76.98
1222,203886.0,77.08
1223,204341.0,76.21
1224,204691.0,76.95
1225,205083.0,76.57
1226,205633.0,76.78
1227,205943.0,76.89
1228,205965.0,76.22
1229,206655.0,76.79
1230,207707.0,77.3
1231,207732.0,76.74
1232,207894.0,76.81
1233,208295.0,76.83
1234,212067.0,76.56
1235,212183.0,77.03
1236,213432.0,76.94
1237,215051.0,77.02
1238,215071.0,75.61
1239,215079.0,78.03
1240,216065.0,76.06
1241,217196.0,77.17
1242,224031.0,76.36
1243,226378.0,77.03
1244,229624.0,76.82
1245,230183.0,75.97
1246,230379.0,76.19
1247,230463.0,77.09
